idx,날짜,기준금리(%)1,국내총생산(시장가격 GDP)(십억원)1,국내총소득(GDI)1,국민총소득(GNI)1,소비자물가지수(2015 = 100),경제성장률(%)1,실업률(%)3,국내총투자율(%),총저축률(%),원/미국달러(매매기준율 평균 원)8,KOSPI(평균),KOSDAQ(평균)2,아파트 거래량 매매(전국),총 인구(명)1,가계대출(조원)1,평균전세가율(전국)1,평균아파트매매가격(전국)
1,2002년 1월,,,,,,,,30.2,31.8,,738.99,,,,,,
2,2002년 2월,4,248502.4,258600.9,257299.6,69.9,2.5,,30.2,31.8,,774.42,,,,,,
3,2002년 3월,4,248502.4,258600.9,257299.6,70.233,2.5,,30.2,31.8,,864.66,,,,,,
4,2002년 4월,4,248502.4,258600.9,257299.6,70.632,2.5,4.1,31.6,31.5,,894.03,,,,,,
5,2002년 5월,4,253005.6,259267.6,257789.6,71.032,1.8,4.1,31.6,31.5,,842.23,,,,,,
6,2002년 6월,4.25,253005.6,259267.6,257789.6,71.298,1.8,3.8,31.6,31.5,,784.3,,,,,,
7,2002년 7월,4.25,253005.6,259267.6,257789.6,71.231,1.8,3.4,31.1,31.7,,753.67,,,,,,
8,2002년 8월,4.25,258120.9,265527.6,265295,71.032,2,3.1,31.1,31.7,,713.23,,,,,,
9,2002년 9월,4.25,258120.9,265527.6,265295,71.498,2,2.9,31.1,31.7,1317.6,703,,,,,,
10,2002년 10월,4.25,258120.9,265527.6,265295,71.898,2,3,32.2,32.1,1318.72,642.22,,,,,,
11,2002년 11월,4.25,260953.4,267202.2,266496,71.697,1.1,3.2,32.2,32.1,1322.51,679.73,,,,416.8,,
12,2002년 12월,4.25,260953.4,267202.2,266496,71.764,1.1,2.7,32.2,32.1,1318.93,699.84,,,,416.8,,
13,2003년 1월,4.25,260953.4,267202.2,266496,72.096,1.1,2.8,33.4,32.4,1266.06,630.98,,,,416.8,,
