idx,날짜,기준금리(%),국내총생산(시장가격 GDP)(십억원),국내총소득(GDI),국민총소득(GNI),소비자물가지수(2015 = 100),경제성장률(%),실업률(%),국내총투자율(%),총저축률(%),원/미국달러(매매기준율 평균 원),KOSPI(평균),KOSDAQ(평균),아파트 거래량 매매(전국),총 인구(명),가계대출(조원),평균전세가율(전국),소비자물가지수(2015 = 100)(lag6),소비자물가지수(2015 = 100)(lag5),소비자물가지수(2015 = 100)(lag4),소비자물가지수(2015 = 100)(lag3),소비자물가지수(2015 = 100)(lag2),소비자물가지수(2015 = 100)(lag1),실업률(%)(lag6),실업률(%)(lag5),실업률(%)(lag4),실업률(%)(lag3),실업률(%)(lag2),실업률(%)(lag1),KOSPI(평균)(lag6),KOSPI(평균)(lag5),KOSPI(평균)(lag4),KOSPI(평균)(lag3),KOSPI(평균)(lag2),KOSPI(평균)(lag1),KOSDAQ(평균)(lag6),KOSDAQ(평균)(lag5),KOSDAQ(평균)(lag4),KOSDAQ(평균)(lag3),KOSDAQ(평균)(lag2),KOSDAQ(평균)(lag1),평균전세가율(전국)(lag6),평균전세가율(전국)(lag5),평균전세가율(전국)(lag4),평균전세가율(전국)(lag3),평균전세가율(전국)(lag2),평균전세가율(전국)(lag1),기준금리(%)(lag6),기준금리(%)(lag5),기준금리(%)(lag4),기준금리(%)(lag3),기준금리(%)(lag2),기준금리(%)(lag1),국내총투자율(%)(lag6),국내총투자율(%)(lag5),국내총투자율(%)(lag4),국내총투자율(%)(lag3),국내총투자율(%)(lag2),국내총투자율(%)(lag1),가계대출(조원)(lag6),가계대출(조원)(lag5),가계대출(조원)(lag4),가계대출(조원)(lag3),가계대출(조원)(lag2),가계대출(조원)(lag1),국내총생산(시장가격 GDP)(십억원)(lag6),국내총생산(시장가격 GDP)(십억원)(lag5),국내총생산(시장가격 GDP)(십억원)(lag4),국내총생산(시장가격 GDP)(십억원)(lag3),국내총생산(시장가격 GDP)(십억원)(lag2),국내총생산(시장가격 GDP)(십억원)(lag1),원/미국달러(매매기준율 평균 원)(lag6),원/미국달러(매매기준율 평균 원)(lag5),원/미국달러(매매기준율 평균 원)(lag4),원/미국달러(매매기준율 평균 원)(lag3),원/미국달러(매매기준율 평균 원)(lag2),원/미국달러(매매기준율 평균 원)(lag1),원/미국달러(매매기준율 평균 원)(lag8),아파트 거래량 매매(전국)(lag6),아파트 거래량 매매(전국)(lag5),아파트 거래량 매매(전국)(lag4),아파트 거래량 매매(전국)(lag3),아파트 거래량 매매(전국)(lag2),아파트 거래량 매매(전국)(lag1),평균아파트매매가격(전국),평균아파트매매가격(서울),평균종합주택매매가격지수(전국),평균종합주택매매가격지수(서울),평균아파트매매가격(전국) (diff; order=1),아파트 거래량 매매(전국) (diff; order=1),실업률(%) (diff; order=1),KOSDAQ(평균) (diff; order=1),기준금리(%) (diff; order=1),원/미국달러(매매기준율 평균 원) (diff; order=1),국내총생산(시장가격 GDP)(십억원) (diff; order=1),국내총소득(GDI) (diff; order=1),국민총소득(GNI) (diff; order=1),소비자물가지수(2015 = 100) (diff; order=1),경제성장률(%) (diff; order=1),국내총투자율(%) (diff; order=1),총저축률(%) (diff; order=1),KOSPI(평균) (diff; order=1),총 인구(명) (diff; order=1),가계대출(조원) (diff; order=1),평균전세가율(전국) (diff; order=1),KOSPI(평균) (diff; order=1)(lag1),아파트 거래량 매매(전국) (diff; order=1)(lag1)
1,2002년 1월,4,248502.4,258600.9,257299.6,69.9,2.5,4.1,30.2,31.8,1317.6,738.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002년 2월,4,248502.4,258600.9,257299.6,70.233,2.5,4.1,30.2,31.8,1318.72,774.42,,,,,,,,,,,69.9,,,,,,4.1,,,,,,738.99,,,,,,,,,,,,,,,,,,4,,,,,,30.2,,,,,,,,,,,,248502.4,,,,,,1317.6,,,,,,,,,,,,,,0,,0,1.12,0,0,0,0.333,0,0,0,35.43,,,,,
3,2002년 3월,4,248502.4,258600.9,257299.6,70.632,2.5,3.8,30.2,31.8,1322.51,864.66,,,,,,,,,,69.9,70.233,,,,,4.1,4.1,,,,,738.99,774.42,,,,,,,,,,,,,,,,,4,4,,,,,30.2,30.2,,,,,,,,,,,248502.4,248502.4,,,,,1317.6,1318.72,,,,,,,,,,,,,,-0.3,,0,3.79,0,0,0,0.399,0,0,0,90.24,,,,35.43,
4,2002년 4월,4,253005.6,259267.6,257789.6,71.032,1.8,3.4,31.6,31.5,1318.93,894.03,,,,,,,,,69.9,70.233,70.632,,,,4.1,4.1,3.8,,,,738.99,774.42,864.66,,,,,,,,,,,,,,,,4,4,4,,,,30.2,30.2,30.2,,,,,,,,,,248502.4,248502.4,248502.4,,,,1317.6,1318.72,1322.51,,,,,,,,,,,,,,-0.4,,0,-3.58,4503.2,666.7,490,0.4,-0.7,1.4,-0.3,29.37,,,,90.24,
5,2002년 5월,4.25,253005.6,259267.6,257789.6,71.298,1.8,3.1,31.6,31.5,1266.06,842.23,,,,,,,,69.9,70.233,70.632,71.032,,,4.1,4.1,3.8,3.4,,,738.99,774.42,864.66,894.03,,,,,,,,,,,,,,,4,4,4,4,,,30.2,30.2,30.2,31.6,,,,,,,,,248502.4,248502.4,248502.4,253005.6,,,1317.6,1318.72,1322.51,1318.93,,,,,,,,,,,,,,-0.3,,0.25,-52.87,0,0,0,0.266,0,0,0,-51.8,,,,29.37,
6,2002년 6월,4.25,253005.6,259267.6,257789.6,71.231,1.8,2.9,31.6,31.5,1223.47,784.3,,,,,,,69.9,70.233,70.632,71.032,71.298,,4.1,4.1,3.8,3.4,3.1,,738.99,774.42,864.66,894.03,842.23,,,,,,,,,,,,,,4,4,4,4,4.25,,30.2,30.2,30.2,31.6,31.6,,,,,,,,248502.4,248502.4,248502.4,253005.6,253005.6,,1317.6,1318.72,1322.51,1318.93,1266.06,,,,,,,,,,,,,,-0.2,,0,-42.59,0,0,0,-0.067,0,0,0,-57.93,,,,-51.8,
7,2002년 7월,4.25,258120.9,265527.6,265295,71.032,2,3,31.1,31.7,1185.12,753.67,,,,,,69.9,70.233,70.632,71.032,71.298,71.231,4.1,4.1,3.8,3.4,3.1,2.9,738.99,774.42,864.66,894.03,842.23,784.3,,,,,,,,,,,,,4,4,4,4,4.25,4.25,30.2,30.2,30.2,31.6,31.6,31.6,,,,,,,248502.4,248502.4,248502.4,253005.6,253005.6,253005.6,1317.6,1318.72,1322.51,1318.93,1266.06,1223.47,,,,,,,,,,,,,,0.1,,0,-38.35,5115.3,6260,7505.4,-0.199,0.2,-0.5,0.2,-30.63,,,,-57.93,
8,2002년 8월,4.25,258120.9,265527.6,265295,71.498,2,3.2,31.1,31.7,1196.37,713.23,,,,,,70.233,70.632,71.032,71.298,71.231,71.032,4.1,3.8,3.4,3.1,2.9,3,774.42,864.66,894.03,842.23,784.3,753.67,,,,,,,,,,,,,4,4,4,4.25,4.25,4.25,30.2,30.2,31.6,31.6,31.6,31.1,,,,,,,248502.4,248502.4,253005.6,253005.6,253005.6,258120.9,1318.72,1322.51,1318.93,1266.06,1223.47,1185.12,,,,,,,,,,,,,,0.2,,0,11.25,0,0,0,0.466,0,0,0,-40.44,,,,-30.63,
9,2002년 9월,4.25,258120.9,265527.6,265295,71.898,2,2.7,31.1,31.7,1208.5,703,,,,,,70.632,71.032,71.298,71.231,71.032,71.498,3.8,3.4,3.1,2.9,3,3.2,864.66,894.03,842.23,784.3,753.67,713.23,,,,,,,,,,,,,4,4,4.25,4.25,4.25,4.25,30.2,31.6,31.6,31.6,31.1,31.1,,,,,,,248502.4,253005.6,253005.6,253005.6,258120.9,258120.9,1322.51,1318.93,1266.06,1223.47,1185.12,1196.37,1317.6,,,,,,,,,,,,,-0.5,,0,12.13,0,0,0,0.4,0,0,0,-10.23,,,,-40.44,
10,2002년 10월,4.25,260953.4,267202.2,266496,71.697,1.1,2.8,32.2,32.1,1241.13,642.22,,,,416.8,,71.032,71.298,71.231,71.032,71.498,71.898,3.4,3.1,2.9,3,3.2,2.7,894.03,842.23,784.3,753.67,713.23,703,,,,,,,,,,,,,4,4.25,4.25,4.25,4.25,4.25,31.6,31.6,31.6,31.1,31.1,31.1,,,,,,,253005.6,253005.6,253005.6,258120.9,258120.9,258120.9,1318.93,1266.06,1223.47,1185.12,1196.37,1208.5,1318.72,,,,,,,,,,,,,0.1,,0,32.63,2832.5,1674.6,1201,-0.201,-0.9,1.1,0.4,-60.78,,,,-10.23,
