"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",0,0,0,0,0.365000000000009,0,0.7,0,0,-22.5,112.22,-0.470000000000027,1669,16476,0,0.174994040000001,-5.10000000000002
"2",0,0,0,0,0.0269999999999868,0,-0.5,0,0,2.55000000000018,20.1800000000001,-36.9,711,15716,0,0.165323179999994,-5.89999999999998
"3",0,2117.79999999999,2000.40000000002,3294.40000000002,-0.00900000000000034,-0.3,-0.2,-2,0.399999999999999,9.64999999999986,-27.49,-20.64,101,18502,12.1,0.070989400000002,18.6999999999999
"4",0,0,0,0,0.173000000000002,0,-0.4,0,0,18.72,-109.57,-0.0500000000000114,-341,17849,0,0.0456624999999988,9.5
"5",0,0,0,0,-0.137,0,0.1,0,0,11.24,-37.75,5.82000000000005,-672,13518,0,0.205568330000006,-35.6999999999999
"6",-0.25,1635.60000000003,5306.5,4033.39999999997,-0.217999999999989,-0.2,-0.1,-2.1,-1,-22.1500000000001,-21.8499999999999,4.78999999999996,-307,18184,10.7,0.0526498999999987,-8.30000000000007
"7",0,0,0,0,0.445999999999998,0,-0.1,0,0,-11.6699999999998,92.1600000000001,33.34,-930,20524,0,0.326609089999998,-14.1
"8",0,0,0,0,0.691999999999993,0,-0.1,0,0,-6.91000000000008,42.3799999999999,5.23000000000002,-188,19617,0,0.648526179999998,28.6
"9",-0.25,1914.79999999999,-38.6000000000349,-290.599999999977,-0.182000000000002,0.1,-0.1,-0.599999999999998,0.100000000000001,-17.8499999999999,-19.0999999999999,-20.0600000000001,2967,21041,20.1999999999999,0.751267890000001,8.10000000000002
"10",0,0,0,0,-0.345999999999989,0,0,0,0,-19.4100000000001,-37.49,-15.31,928,18541,0,0.648446400000005,2.60000000000002
"11",0,0,0,0,0.173000000000002,0,0.1,0,0,-10.55,69.1399999999999,19.99,2873,17467,0,0.521913249999997,1.29999999999995
"12",0,3363.5,4508.20000000001,3759.5,0.582999999999998,0.4,0.5,1,0.399999999999999,-11.6200000000001,12.26,6.96999999999997,-6729,16908,3.10000000000002,0.567940380000003,1.80000000000007
"13",0,0,0,0,0.326999999999998,0,0.5,0,0,21.3300000000002,-6.25,31.5300000000001,1170,25823,0,0.58247231,1.19999999999993
"14",0,0,0,0,-0.0910000000000082,0,-0.4,0,0,15.52,10.3900000000001,4.59999999999991,2609,12840,0,0.531550109999998,-15.1
"15",0,4527.29999999999,6529.79999999999,6590.39999999997,-0.135999999999996,0.3,-0.3,-1.1,0.5,19.6299999999999,-51.3599999999999,20.22,1471,14625,17.3,0.419539219999997,4.60000000000002
"16",-0.25,0,0,0,0,0,-0.2,0,0,-11.1599999999999,35.5699999999999,-41.14,1246,16026,0,-0.0029601799999952,-14.1999999999999
"17",0,0,0,0,-0.119,0,0.1,0,0,24.54,-90.04,3.47000000000003,3160,13386,0,0.208417879999999,-7.5
"18",0,3338.90000000002,4844.30000000005,4257.80000000005,0.209999999999994,-0.3,0,0.600000000000001,-0.399999999999999,-7.98000000000002,-12.6400000000001,6.67999999999995,-7929,16961,12.6,0.695303799999998,-37.5000000000001
"19",0,0,0,0,0.346000000000004,0,-0.1,0,0,-10.25,25.1900000000001,-12.9499999999999,692,16666,0,0.920163199999998,25.8
"20",0,0,0,0,0.191000000000003,0,-0.3,0,0,-29.6300000000001,87.4300000000001,2.58999999999992,609,17024,0,0.755049840000005,1
"21",0,3090,1662,2154,-0.299999999999997,-0.1,0,0.599999999999998,0.0999999999999943,-20.55,45.29,-16.74,4014,17171,21.7,0.648330879999996,11.3
"22",0,0,0,0,-0.0190000000000055,0,-0.1,0,0,-3.98000000000002,-19.76,-17.6399999999999,-434,12282,0,0.555759090000002,24.1
"23",0,0,0,0,0.119,0,0.4,0,0,-6.14999999999986,-21.5900000000001,16.27,742,13479,0,0.477056599999997,34.1
"24",0,3773.5,4213.69999999995,1529.39999999997,0.528000000000006,0.2,0.4,-0.599999999999998,-0.199999999999996,8.07999999999993,-40.1099999999999,8.88999999999999,-1890,14705,4.69999999999993,0.753848649999995,-14.9
