"","x"
"pre_mat23",17.8531007782531
"pre_mat24",15.9811522904214
"pre_mat25",-20.422545413223
"pre_mat26",-17.6035042728314
"pre_mat27",-21.7622315762346
"pre_mat28",36.309935134548
"pre_mat29",-23.955294061004
"pre_mat30",24.4418049863403
"pre_mat31",30.4443871519907
"pre_mat32",39.5232149611249
"pre_mat33",-29.5442631922191
"pre_mat34",6.63777014994861
"pre_mat35",1.3401666894091
"pre_mat36",52.694892986187
"pre_mat37",65.0418967389075
"pre_mat38",-7.60589392625627
"pre_mat39",-5.05536482803439
"pre_mat40",79.6385007513426
"pre_mat41",16.097051507022
"pre_mat42",36.581647212408
"pre_mat43",24.3650508265762
"pre_mat44",7.86036805752445
"pre_mat45",-7.78811972109293
"pre_mat46",-11.1346259911689
"pre_mat47",-40.6320426653206
"pre_mat48",-13.2603937460857
"pre_mat49",-28.4103801126777
"pre_mat50",-20.0395092911014
"pre_mat51",19.0242187076079
"pre_mat52",-1.5087742477258
"pre_mat53",23.9388033246149
"pre_mat54",-2.44171174383962
"pre_mat55",-10.6641053870723
"pre_mat56",-3.53569719925906
"pre_mat57",-30.4672760066572
"pre_mat58",-71.8663989252675
"pre_mat59",-11.2363087229022
"pre_mat60",-19.2092151070743
"pre_mat61",-11.4619556099624
"pre_mat62",9.6691606781215
"pre_mat63",11.2810540799485
"pre_mat64",14.9104216439616
"pre_mat65",-28.8181868947802
"pre_mat66",43.9718729131745
"pre_mat67",-29.3778248588357
"pre_mat68",21.910849990454
"pre_mat69",-7.72511042103349
"pre_mat70",-48.4138277966529
"pre_mat71",-31.4208751291699
"pre_mat72",-20.1223607363574
"pre_mat73",-37.3985936789388
"pre_mat74",-42.3913585177935
"pre_mat75",-79.9916584542368
"pre_mat76",-11.0847693548238
"pre_mat77",44.8584605513361
"pre_mat78",114.702736789764
"pre_mat79",109.132437089669
"pre_mat80",-66.495004988511
"pre_mat81",-5.98995590548213
"pre_mat82",-80.9768491780269
"pre_mat83",-200.659545734594
"pre_mat84",40.2488389989591
"pre_mat85",143.610558562162
"pre_mat86",88.8726452630664
"pre_mat87",57.7242276636915
"pre_mat88",385.011370091152
"pre_mat89",24.288166246159
"pre_mat90",-2.20311511860439
"pre_mat91",-420.623357168169
"pre_mat92",21.7340587896841
"pre_mat93",96.0071749855151
"pre_mat94",12.748708033665
"pre_mat95",-102.826055007683
"pre_mat96",-97.9829690625251
"pre_mat97",-299.905964731376
"pre_mat98",-25.769167997544
"pre_mat99",-410.587226603867
"pre_mat100",-25.7871429266942
"pre_mat101",152.407313995289
"pre_mat102",-32.9401662590985
"pre_mat103",524.523821479516
"pre_mat104",-150.589210181552
"pre_mat105",-29.6665471217489
"pre_mat106",349.785454013236
"pre_mat107",-45.4932381992177
"pre_mat108",-69.1477271940944
"pre_mat109",-3.22328383463747
